probability_0,probability_1
0.9988316893577576,0.001168305054306984
0.9868416786193848,0.013158346526324749
0.999942421913147,5.7539658882888034e-05
0.9966891407966614,0.0033108359202742577
0.9997585415840149,0.0002414163900539279
0.98215252161026,0.017847450450062752
0.9974350333213806,0.002564971335232258
0.9995138645172119,0.0004861729103140533
0.9993300437927246,0.0006699854857288301
0.9982506632804871,0.00174936733674258
0.9973301887512207,0.0026698654983192682
0.9973815083503723,0.002618520287796855
0.9999438524246216,5.617500210064463e-05
0.998127281665802,0.0018727481365203857
0.9157931208610535,0.08420688658952713
0.9996515512466431,0.0003484251501504332
0.9966572523117065,0.0033427574671804905
0.999715268611908,0.00028467067750170827
0.9998236298561096,0.00017645754269324243
0.9902293086051941,0.009770668111741543
0.9995369911193848,0.00046302578994072974
0.9981828331947327,0.0018171542324125767
0.9968851208686829,0.003114815801382065
0.9999427795410156,5.716234591091052e-05
0.9824350476264954,0.01756492257118225
0.9995143413543701,0.0004856740706600249
0.9997629523277283,0.00023705099010840058
0.9930847883224487,0.006915260571986437
0.9986411929130554,0.00135883002076298
0.9884345531463623,0.01156544592231512
0.9954246878623962,0.004575288388878107
0.9980687499046326,0.0019312588265165687
0.998306393623352,0.001693554688245058
0.998331606388092,0.00166843191254884
0.9999628067016602,3.716199717018753e-05
0.9712690711021423,0.02873098850250244
0.9994743466377258,0.0005256379372440279
0.9965826869010925,0.003417308209463954
0.9800983667373657,0.019901659339666367
0.9872978925704956,0.012702139094471931
0.005412988364696503,0.9945869445800781
0.999054491519928,0.0009454658720642328
0.999903678894043,9.627338295103982e-05
0.9893296360969543,0.01067032478749752
0.0016289878403767943,0.9983710646629333
0.9992712140083313,0.0007288442575372756
0.9994325041770935,0.0005674849380739033
0.000529115495737642,0.9994708895683289
0.015055635012686253,0.9849444031715393
0.9279937744140625,0.07200625538825989
0.9949348568916321,0.005065164528787136
0.9955931305885315,0.004406850319355726
0.016700943931937218,0.9832990765571594
0.017387935891747475,0.9826120138168335
0.0021035971585661173,0.9978964328765869
0.9811487793922424,0.018851198256015778
0.9989103078842163,0.0010897197062149644
0.9998065829277039,0.00019341149891261011
0.9998410940170288,0.00015885281027294695
0.08852221071720123,0.91147780418396
0.03548373281955719,0.9645162224769592
0.9999803304672241,1.968520155060105e-05
0.9950346946716309,0.004965377971529961
0.999941349029541,5.8706646086648107e-05
0.999992847442627,7.122956958482973e-06
0.9998582601547241,0.00014171925431583077
0.9997851252555847,0.00021493549866136163
0.020540444180369377,0.9794595837593079
0.023617539554834366,0.9763824343681335
0.9972558617591858,0.0027441109996289015
0.995610773563385,0.004389295354485512
0.9996680021286011,0.000331952644046396
0.01198174711316824,0.988018274307251
0.9999902248382568,9.731260433909483e-06
0.9989769458770752,0.0010231079068034887
0.9998617172241211,0.00013830643729306757
0.9993621706962585,0.0006378547404892743
0.9984203577041626,0.0015796971274539828
0.9993720650672913,0.00062799226725474
0.0031816153787076473,0.9968183040618896
0.0037738464307039976,0.9962261915206909
0.06395483762025833,0.9360451102256775
0.01263714674860239,0.9873628616333008
0.0015664143720641732,0.998433530330658
0.9997275471687317,0.0002724279765971005
0.9974150657653809,0.002584853209555149
0.0033107041381299496,0.9966893196105957
0.9962061643600464,0.00379377044737339
0.9996957778930664,0.0003042766184080392
0.997280478477478,0.0027194793801754713
0.9997836947441101,0.00021627312526106834
0.0038495517801493406,0.9961504936218262
0.0028722265269607306,0.9971278309822083
0.03673265129327774,0.9632673859596252
0.9999669790267944,3.306875078123994e-05
0.9983516931533813,0.0016482772771269083
0.9998781681060791,0.00012178980250610039
0.00815177895128727,0.9918482303619385
0.08810731023550034,0.9118926525115967
0.9997739195823669,0.00022608920698985457
0.9999749660491943,2.5058303435798734e-05
0.9999949932098389,5.039396455686074e-06
0.9992313385009766,0.0007686206372454762
0.9999818801879883,1.8137357983505353e-05
0.999948263168335,5.1739567425101995e-05
0.9983175992965698,0.00168241944629699
0.9999904632568359,9.493779543845449e-06
0.9999998807907104,1.3321178471414896e-07
0.9998284578323364,0.0001714634126983583
0.999997615814209,2.3328952920564916e-06
0.9997871518135071,0.0002129046042682603
0.9997640252113342,0.00023592403158545494
0.9993478655815125,0.0006521387258544564
0.02133614383637905,0.9786638021469116
0.9949184060096741,0.005081555340439081
0.999992847442627,7.1720210144121666e-06
0.9999995231628418,4.6369436290660815e-07
0.998845100402832,0.0011548365000635386
0.9953627586364746,0.004637181758880615
0.9999080896377563,9.189665433950722e-05
0.999976396560669,2.3619062631041743e-05
0.9979494214057922,0.002050642389804125
0.9997050166130066,0.00029500183882191777
0.019336167722940445,0.9806637763977051
0.9964596629142761,0.003540346398949623
0.9895755052566528,0.01042452547699213
0.9996092915534973,0.0003907705540768802
0.9993137121200562,0.0006862980080768466
0.9964788556098938,0.0035211085341870785
0.9996557235717773,0.00034433070686645806
0.9995352029800415,0.00046478689182549715
0.9997430443763733,0.00025695402291603386
0.9999338388442993,6.621043576160446e-05
0.999890923500061,0.0001090179430320859
0.9993675351142883,0.0006325328722596169
0.9999352693557739,6.475749978562817e-05
0.9999102354049683,8.977456309366971e-05
0.00396966515108943,0.9960302710533142
0.9998645782470703,0.00013546070840675384
0.9999079704284668,9.207006223732606e-05
0.9999548196792603,4.5202436012914404e-05
0.9999399185180664,6.002818190609105e-05
0.9999984502792358,1.4969635913075763e-06
0.9999692440032959,3.072234176215716e-05
0.9997467398643494,0.00025327998446300626
0.9996986389160156,0.0003014147514477372
0.9985589385032654,0.0014410808216780424
0.9989909529685974,0.0010089935967698693
0.9930294156074524,0.006970621645450592
0.9998794794082642,0.00012050304212607443
0.9999314546585083,6.849108467577025e-05
0.9999737739562988,2.6257288482156582e-05
0.9995744824409485,0.00042546153417788446
0.9999511241912842,4.8835703637450933e-05
0.9992969036102295,0.0007030585547909141
0.9991888403892517,0.0008111019269563258
0.9999932050704956,6.78007245369372e-06
1.0,2.5178717777407655e-08
0.01828530617058277,0.9817147254943848
0.013856766745448112,0.9861432909965515
0.957196831703186,0.042803190648555756
0.9974817633628845,0.002518268534913659
0.999987006187439,1.3000952094444074e-05
0.999833345413208,0.00016667328600306064
0.999974250793457,2.579016290837899e-05
0.9995347261428833,0.000465267599793151
0.9994656443595886,0.0005344004021026194
0.9995262622833252,0.00047371789696626365
0.9988864064216614,0.0011135961394757032
