probability_0,probability_1
0.47036734223365784,0.5296326279640198
0.6938248872756958,0.3061751127243042
0.6748546361923218,0.32514530420303345
0.7091966271400452,0.2908034026622772
0.5686038136482239,0.4313961863517761
0.6391537189483643,0.36084631085395813
0.7096704244613647,0.29032963514328003
0.8746989369392395,0.1253010332584381
0.49736288189888,0.5026371479034424
0.8704739809036255,0.12952600419521332
0.39289379119873047,0.6071062684059143
0.7130251526832581,0.28697487711906433
0.696585476398468,0.30341461300849915
0.49500682950019836,0.5049931406974792
0.6976677775382996,0.3023322522640228
0.8473153710365295,0.15268459916114807
0.8464112877845764,0.15358875691890717
0.8527952432632446,0.14720480144023895
0.7678202986717224,0.2321796715259552
0.8016219139099121,0.19837811589241028
0.7454186677932739,0.2545812427997589
0.6661126613616943,0.3338873088359833
0.6764097809791565,0.3235902190208435
0.6998701095581055,0.3001299202442169
0.7451562881469727,0.25484371185302734
0.7509995698928833,0.2490004450082779
0.6919975876808167,0.30800244212150574
0.5591199994087219,0.44088006019592285
0.7001341581344604,0.2998657822608948
0.6641809344291687,0.3358190953731537
0.8010431528091431,0.19895681738853455
0.6991614699363708,0.3008384704589844
0.41089001297950745,0.5891099572181702
0.4702366590499878,0.5297632813453674
0.5065309405326843,0.4934690296649933
0.6667768359184265,0.3332231342792511
0.7611309885978699,0.23886904120445251
0.8315604329109192,0.1684395670890808
0.4300394654273987,0.5699605345726013
0.5404803156852722,0.4595196843147278
0.5802497267723083,0.41975030303001404
0.6853957772254944,0.3146042227745056
0.8001846075057983,0.19981536269187927
0.7666468620300293,0.2333531379699707
0.5930248498916626,0.4069751501083374
0.799126923084259,0.20087309181690216
0.7702638506889343,0.22973614931106567
0.7568139433860779,0.2431861013174057
0.5180404782295227,0.4819595515727997
0.668140709400177,0.3318592607975006
0.7546811103820801,0.2453189492225647
0.8762414455413818,0.12375853955745697
0.8307196497917175,0.1692803055047989
0.6709116697311401,0.32908833026885986
0.8456863164901733,0.15431366860866547
0.9182624816894531,0.0817374661564827
0.8011173009872437,0.19888272881507874
0.8618639707565308,0.13813605904579163
0.6084812879562378,0.39151865243911743
0.8319870829582214,0.16801296174526215
0.8937221765518188,0.10627783089876175
0.8004088997840881,0.19959107041358948
0.46830031275749207,0.5316997170448303
0.4803335666656494,0.5196664333343506
0.5389004945755005,0.4610995054244995
0.5104885101318359,0.48951148986816406
0.7229593992233276,0.27704060077667236
0.5322197079658508,0.4677802324295044
0.633881688117981,0.36611828207969666
0.7112458944320679,0.2887541353702545
0.8731479048728943,0.1268521100282669
0.760149359703064,0.23985061049461365
0.5578306913375854,0.4421692490577698
0.7019304633140564,0.2980695366859436
0.4708470404148102,0.5291528701782227
0.6496449112892151,0.3503551185131073
0.8040510416030884,0.1959490031003952
0.4972592890262604,0.502740740776062
0.7402540445327759,0.25974589586257935
0.7305901050567627,0.2694098651409149
0.7528821229934692,0.24711786210536957
0.8019685745239258,0.19803141057491302
0.8889561295509338,0.11104382574558258
0.6050019264221191,0.39499804377555847
0.6822580099105835,0.3177419602870941
0.7602638006210327,0.2397361844778061
0.6795312762260437,0.3204686939716339
0.8424507975578308,0.1575491726398468
0.8228335380554199,0.17716644704341888
0.7056007385253906,0.2943992614746094
0.8254331350326538,0.17456680536270142
0.6691856980323792,0.33081427216529846
0.6463073492050171,0.3536926507949829
0.8290983438491821,0.17090162634849548
0.6289454698562622,0.3710545003414154
0.5136538743972778,0.4863460659980774
0.8123087882995605,0.18769122660160065
0.7212727069854736,0.27872732281684875
