fold,epoch,train_loss,validation_loss,validation_accuracy
0,1,0.559322497133392,0.6056547164916992,0.7229729890823364
0,2,0.37351940893336555,0.41870567202568054,0.837837815284729
0,3,0.2921958784701416,0.3008395731449127,0.8310810923576355
0,4,0.23636052621662287,0.2487732619047165,0.837837815284729
0,5,0.2092600539738302,0.21159788966178894,0.9797297120094299
0,6,0.21461450049231723,0.17187874019145966,0.9797297120094299
0,7,0.181863353479633,0.15926173329353333,0.9391891956329346
0,8,0.16350898278352305,0.1507161557674408,0.9932432174682617
0,9,0.16457333782101205,0.11375397443771362,1.0
0,10,0.13571433591249898,0.09594153612852097,1.0
0,11,0.12754055767098843,0.1150578036904335,1.0
0,12,0.12196040612475648,0.07390163093805313,1.0
0,13,0.08921951074050276,0.06393592059612274,1.0
0,14,0.09033160644341569,0.06132558360695839,1.0
0,15,0.08869304791998468,0.04684153571724892,1.0
0,16,0.07970256045543028,0.05574347451329231,1.0
0,17,0.07254550101760343,0.04434960335493088,1.0
0,18,0.06644274162653402,0.0366240032017231,1.0
0,19,0.06398013361745118,0.035600967705249786,1.0
0,20,0.0659131359164886,0.03220401704311371,1.0
0,21,0.05720946512787052,0.02986488863825798,1.0
0,22,0.0858579347558443,0.03559804707765579,1.0
0,23,0.05976826726402367,0.026279786601662636,1.0
0,24,0.05540378262077906,0.034730810672044754,1.0
0,25,0.053128289418984516,0.02354675531387329,1.0
0,26,0.04606234714471174,0.021458249539136887,1.0
0,27,0.04571355295815191,0.03371686488389969,1.0
0,28,0.04936685680684464,0.022884756326675415,1.0
0,29,0.05395935886431465,0.02118106186389923,1.0
0,30,0.04301156284730079,0.02024891972541809,1.0
0,31,0.024067427757201273,0.01915045455098152,1.0
0,32,0.030991301331566183,0.018098480999469757,1.0
0,33,0.045184538673959385,0.015752675011754036,1.0
0,34,0.03984639838914186,0.018069496378302574,1.0
0,35,0.04434515733415909,0.034139279276132584,1.0
0,36,0.041315564751954366,0.018308013677597046,1.0
0,37,0.027469170789198322,0.017402376979589462,1.0
0,38,0.02263350563010623,0.011747819371521473,1.0
0,39,0.0218685881661776,0.011196120642125607,1.0
0,40,0.035798853479366934,0.010936960577964783,1.0
0,41,0.01959322252470321,0.010777696035802364,1.0
0,42,0.027187242815837016,0.010530991479754448,1.0
0,43,0.03565180700951518,0.010542545467615128,1.0
0,44,0.03120014664217912,0.0177482757717371,1.0
0,45,0.025179668149566122,0.013130695559084415,1.0
0,46,0.023493233080233,0.009664096869528294,1.0
0,47,0.019199842453332238,0.008917354047298431,1.0
0,48,0.0189427789815223,0.010331044904887676,1.0
0,49,0.017743254970573916,0.006027360446751118,1.0
0,50,0.021394342966171917,0.008263149298727512,1.0
0,51,0.018259215760379206,0.00713609904050827,1.0
0,52,0.015299152850446121,0.006673462688922882,1.0
0,53,0.028468995977666497,0.006446536164730787,1.0
0,54,0.019582137527222133,0.007302820682525635,1.0
0,55,0.016019267961382866,0.022257329896092415,1.0
0,56,0.01967132717206333,0.006704057101160288,1.0
0,57,0.016772123290359646,0.004967154003679752,1.0
0,58,0.026529508797215166,0.004886527080088854,1.0
0,59,0.02137386363040841,0.008252781815826893,1.0
0,60,0.01674716738541482,0.009418817237019539,1.0
0,61,0.030788543649552934,0.010808246210217476,1.0
0,62,0.016012609107882936,0.00688411109149456,1.0
0,63,0.02082309243140629,0.0188361294567585,1.0
0,64,0.015881019011551503,0.007873768918216228,1.0
0,65,0.022225622355279345,0.0065887863747775555,1.0
0,66,0.01619613405769866,0.00826680101454258,1.0
0,67,0.012909355115413006,0.006083567161113024,1.0
0,68,0.01606319506925361,0.00565976370126009,1.0
1,1,0.46691568353988605,0.5206851959228516,0.7752808928489685
1,2,0.3562304893685453,0.3946405351161957,0.8314606547355652
1,3,0.316937902286732,0.30776768922805786,0.8314606547355652
1,4,0.2865550945923981,0.2735387086868286,0.8314606547355652
1,5,0.25183834343649153,0.23407749831676483,0.8764045238494873
1,6,0.2355252175524248,0.22334431111812592,0.8764045238494873
1,7,0.19732528458760437,0.16825251281261444,0.9438202381134033
1,8,0.1832773029471243,0.15887285768985748,0.9438202381134033
1,9,0.15711888854064088,0.12507525086402893,1.0
1,10,0.13975258267292098,0.13349106907844543,0.966292142868042
1,11,0.12776496007455793,0.10404901951551437,1.0
1,12,0.12302004658310108,0.10375230759382248,1.0
1,13,0.10609764460078831,0.1005244329571724,1.0
1,14,0.11240224814947757,0.09051617980003357,1.0
1,15,0.10251768657615065,0.08128894120454788,1.0
1,16,0.09424643651400198,0.08747783303260803,0.9887640476226807
1,17,0.07981426306277015,0.07518080621957779,1.0
1,18,0.07565103578459284,0.06407002359628677,1.0
1,19,0.08908290478437307,0.06252521276473999,1.0
1,20,0.07574834637135766,0.08558265119791031,0.9775280952453613
1,21,0.10078119299265259,0.10774040222167969,0.932584285736084
1,22,0.0749685236528599,0.05531536415219307,1.0
1,23,0.09840939497814498,0.09332869946956635,0.9438202381134033
1,24,0.08310935533912488,0.06698726862668991,1.0
1,25,0.07891769952780707,0.10461191833019257,0.9550561904907227
1,26,0.07863324826489614,0.0527256578207016,1.0
1,27,0.07390528734169859,0.056856200098991394,1.0
1,28,0.07060980147489622,0.06221805140376091,1.0
1,29,0.05969971978214866,0.0434548519551754,1.0
1,30,0.05020499330367789,0.04966481775045395,1.0
1,31,0.049743443540188184,0.03629400581121445,1.0
1,32,0.03817631291777062,0.03448663651943207,1.0
1,33,0.04886209975158036,0.037391576915979385,1.0
1,34,0.04392824600861725,0.03566165268421173,1.0
1,35,0.05002259500532843,0.04638000950217247,1.0
1,36,0.04309074811679025,0.03338989242911339,1.0
1,37,0.04758463098599924,0.04884057119488716,1.0
1,38,0.044634324795041,0.03190957382321358,1.0
1,39,0.04559503421811751,0.025152327492833138,1.0
1,40,0.03723089882906256,0.03809965401887894,1.0
1,41,0.028330356111573106,0.021966464817523956,1.0
1,42,0.034607769744522746,0.02272188290953636,1.0
1,43,0.02994196451992296,0.015732809901237488,1.0
1,44,0.031089776138353613,0.018114782869815826,1.0
1,45,0.024254756563410744,0.018330376595258713,1.0
1,46,0.03931214031893448,0.0235089510679245,1.0
1,47,0.031450977444898484,0.01803644932806492,1.0
1,48,0.040923555553292426,0.02259603515267372,1.0
1,49,0.04117130498563111,0.03911751136183739,1.0
1,50,0.02621787598658374,0.021258840337395668,1.0
1,51,0.029374970487376164,0.023610824719071388,1.0
1,52,0.028040423864425894,0.018388938158750534,1.0
1,53,0.029639963050211608,0.01591997779905796,1.0
2,1,0.5761428698481128,0.4911726415157318,0.8235294222831726
2,2,0.3840450015147971,0.4127301573753357,0.8888888955116272
2,3,0.3163672007994945,0.2973567843437195,0.9215686321258545
2,4,0.28498301542671034,0.24113453924655914,0.9281045794487
2,5,0.2554511944008939,0.20488037168979645,0.9542483687400818
2,6,0.23245931620704396,0.17731265723705292,0.9934640526771545
2,7,0.20881897119503448,0.14362266659736633,0.9934640526771545
2,8,0.17546788532307694,0.12648731470108032,0.9869281053543091
2,9,0.16176566106980073,0.11578281968832016,0.9934640526771545
2,10,0.16864820765383418,0.12850961089134216,0.9934640526771545
2,11,0.16124117049757994,0.08481204509735107,0.9934640526771545
2,12,0.12067749101522915,0.07678129523992538,0.9934640526771545
2,13,0.12346291408858485,0.08350718021392822,0.9934640526771545
2,14,0.11441547128075329,0.07518371194601059,0.9934640526771545
2,15,0.11238361755646141,0.06645311415195465,0.9934640526771545
2,16,0.10346292883324223,0.058727506548166275,0.9934640526771545
2,17,0.09130085422007066,0.0552796944975853,0.9934640526771545
2,18,0.10420383537947799,0.054545339196920395,1.0
2,19,0.08819211103729696,0.04722370207309723,0.9934640526771545
2,20,0.0864440394180447,0.04790091887116432,0.9934640526771545
2,21,0.09146253589811272,0.054891444742679596,0.9869281053543091
2,22,0.08149425685405731,0.0408383347094059,1.0
2,23,0.08479821809968136,0.10350559651851654,0.9934640526771545
2,24,0.08261666792398059,0.042915359139442444,0.9934640526771545
2,25,0.07194380820130503,0.04420512542128563,0.9934640526771545
2,26,0.06313140045164684,0.04306815192103386,0.9934640526771545
2,27,0.054105996044987406,0.03158695623278618,1.0
2,28,0.11041092706126207,0.038743168115615845,0.9934640526771545
2,29,0.08715471964558409,0.031226497143507004,1.0
2,30,0.09037815512017498,0.02822893112897873,1.0
2,31,0.047396616916583235,0.027393095195293427,0.9934640526771545
2,32,0.061737872368796576,0.028864065185189247,1.0
2,33,0.05336453035140837,0.025496795773506165,1.0
2,34,0.06116337227172026,0.034585341811180115,0.9934640526771545
2,35,0.05726715081563875,0.024826204404234886,1.0
2,36,0.046303677494903016,0.02563684992492199,0.9934640526771545
2,37,0.05426864369184445,0.023225443437695503,1.0
2,38,0.041320122653545614,0.024106519296765327,0.9934640526771545
2,39,0.05517938626961335,0.024485411122441292,1.0
2,40,0.03944031933749188,0.034001678228378296,0.9934640526771545
2,41,0.0471610615872804,0.02170395478606224,0.9934640526771545
2,42,0.041618035533907694,0.02932613343000412,0.9934640526771545
2,43,0.04402984386341199,0.015259289182722569,1.0
2,44,0.03977915811139112,0.01951267197728157,0.9934640526771545
2,45,0.03901544299663445,0.015309472568333149,1.0
2,46,0.03012978976498769,0.020881904289126396,0.9934640526771545
2,47,0.02769211758781412,0.013427098281681538,1.0
2,48,0.03034836146980524,0.013061383739113808,1.0
2,49,0.038862243461209305,0.01206980925053358,1.0
2,50,0.04143583236584783,0.020070763304829597,1.0
2,51,0.031061616897915995,0.01572226919233799,1.0
2,52,0.019261737119968377,0.014756308868527412,0.9934640526771545
2,53,0.031089353994284263,0.017244746908545494,0.9934640526771545
2,54,0.026702258839953544,0.011130244471132755,1.0
2,55,0.02567755168709675,0.010872329585254192,1.0
2,56,0.02027201569280145,0.009370739571750164,1.0
2,57,0.036142811095914364,0.020212417468428612,1.0
2,58,0.03082603124599883,0.012234010733664036,1.0
2,59,0.029250375635131113,0.016500068828463554,1.0
2,60,0.029082129371232827,0.008949816226959229,1.0
2,61,0.02732451888602539,0.008565254509449005,1.0
2,62,0.018606788286283694,0.013857366517186165,1.0
2,63,0.057053017383181186,0.03194001689553261,0.9869281053543091
2,64,0.03559194149855295,0.00945256557315588,1.0
2,65,0.040031261034517984,0.02774810791015625,1.0
2,66,0.024724495768880046,0.01376920286566019,1.0
2,67,0.03524914962452883,0.012720191851258278,1.0
2,68,0.037960014238370865,0.018279550597071648,1.0
2,69,0.06379222788707505,0.015925703570246696,0.9934640526771545
2,70,0.032573420158977615,0.010834864340722561,1.0
2,71,0.031196515819879884,0.018812067806720734,1.0
3,1,0.5259473921392884,0.5177223086357117,0.7640449404716492
3,2,0.37200501515432394,0.40427249670028687,0.7977527976036072
3,3,0.31925914400373884,0.31357699632644653,0.8314606547355652
3,4,0.2813011725692798,0.2679175138473511,0.8314606547355652
3,5,0.2539381431915876,0.23148131370544434,0.8651685118675232
3,6,0.21716955852935382,0.2176305204629898,0.966292142868042
3,7,0.18870030011972197,0.16820353269577026,0.966292142868042
3,8,0.16097107975531721,0.16638357937335968,0.966292142868042
3,9,0.14219873385203768,0.1614629626274109,0.9438202381134033
3,10,0.1336638677836684,0.105980783700943,1.0
3,11,0.14119572133359398,0.12582647800445557,0.9550561904907227
3,12,0.12949328227421206,0.09700719267129898,1.0
3,13,0.08323571268859727,0.09319814294576645,1.0
3,14,0.1033375830677769,0.07916858792304993,1.0
3,15,0.0768367724726572,0.06950005888938904,1.0
3,16,0.07440933021133209,0.06573167443275452,1.0
3,17,0.09918321749133527,0.09978329390287399,0.9775280952453613
3,18,0.10288557021514229,0.08760762959718704,1.0
3,19,0.06886385317386874,0.09352753311395645,1.0
3,20,0.06965139058544813,0.06666263192892075,1.0
3,21,0.059901654648849424,0.04795170947909355,1.0
3,22,0.04295897720110081,0.048612240701913834,1.0
3,23,0.05391658766342856,0.06643182039260864,0.9775280952453613
3,24,0.05100764436623477,0.03967208042740822,1.0
3,25,0.05007321770538759,0.03771700710058212,1.0
3,26,0.03581469210669817,0.03529775142669678,1.0
3,27,0.05891390825095384,0.062056466937065125,0.9775280952453613
3,28,0.03901157211369413,0.03118254989385605,1.0
3,29,0.04904235514533489,0.02876358851790428,1.0
