experiment,experiment_id,feature_set,feature_groups,n_features,n_evaluated,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,cohen_kappa,fold_f1_macro_mean,fold_f1_macro_std,fold_accuracy_mean,fold_accuracy_std
A,A_basic_vegetation_dd0854a29f,A_basic_vegetation,vegetation,9,150,0.9466666666666667,0.9513725490196079,0.9466666666666667,0.9473809523809524,0.9473809523809524,0.9333333333333333,0.9529692215664246,0.020970134697976418,0.9513338989441932,0.021155687123644
B,B_basic_trend_6836f6e44e,B_basic_trend,vegetation+trend,14,150,0.9733333333333334,0.9743534482758621,0.9733333333333334,0.9735374521596502,0.9735374521596502,0.9666666666666667,0.9690567501219838,0.01487671529717246,0.9721672322775264,0.00938959693247591
C,C_add_restrend_e85680e379,C_add_restrend,vegetation+trend+restrend,19,150,0.9933333333333333,0.9935483870967742,0.9933333333333334,0.9933314809669354,0.9933314809669352,0.9916666666666667,0.9933166248955723,0.009451719715108456,0.9901960784313726,0.013864838846795053
D,D_add_cyclicity_0b93a305f1,D_add_cyclicity,vegetation+trend+restrend+cyclicity,25,150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
E,E_add_disturbance_480c314992,E_add_disturbance,vegetation+trend+restrend+cyclicity+disturbance+recovery,40,150,0.9933333333333333,0.9935483870967742,0.9933333333333334,0.9933314809669354,0.9933314809669352,0.9916666666666667,0.9926570048309179,0.010384563356556077,0.9935897435897436,0.009065471553673706
F,F_full_5fd7c542f9,F_full,vegetation+trend+restrend+cyclicity+disturbance+recovery+rainfall,45,150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
