fold,epoch,train_loss,validation_loss,validation_accuracy
0,1,0.6093488286421137,0.6388781070709229,0.782608687877655
0,2,0.5232591738978636,0.589582085609436,0.760869562625885
0,3,0.45437772557573414,0.5402445197105408,0.782608687877655
0,4,0.38657779456342306,0.48862966895103455,0.8695651888847351
0,5,0.3507241184271655,0.43329304456710815,0.8260869383811951
0,6,0.31259842144632805,0.3814595639705658,0.8913043737411499
1,1,0.5442166664134497,0.6172584295272827,0.8260869383811951
1,2,0.45072322844088764,0.57558673620224,0.8260869383811951
1,3,0.4263990877688616,0.5243373513221741,0.8260869383811951
1,4,0.39505106039430904,0.48022326827049255,0.8260869383811951
1,5,0.3639547448048646,0.4502597451210022,0.8913043737411499
1,6,0.33940292055579435,0.4156655967235565,0.9130434989929199
