fold,epoch,train_loss,validation_loss,validation_accuracy
0,1,1.5648207583473723,1.5156275033950806,0.5869565010070801
0,2,1.1850950625336285,1.4008289575576782,0.3478260934352875
0,3,1.0326905730858589,1.3111364841461182,0.32608696818351746
0,4,0.943243258786433,1.2418605089187622,0.3695652186870575
0,5,0.9065878194512673,1.1636146306991577,0.43478259444236755
0,6,0.8199430866148866,1.0840719938278198,0.54347825050354
1,1,1.4411273098540032,1.4837372303009033,0.5
1,2,1.2019502815158887,1.3890067338943481,0.54347825050354
1,3,1.073670004291096,1.292405366897583,0.54347825050354
1,4,1.0167382270440288,1.2036174535751343,0.695652186870575
1,5,0.9647182191925487,1.1294174194335938,0.782608687877655
1,6,0.9110038136613781,1.0540634393692017,0.8260869383811951
